month,region,depth_strata,family,mean_biom,total_biom
April,Detroit,Deep,Bosminidae,0.31992804,0.63985608
April,Detroit,Deep,Centropagidae,0.077178787,0.154357574
April,Detroit,Deep,Cyclopoidae,0.11859704,0.355791121
April,Detroit,Deep,Daphnidae,0.179260709,0.537782126
April,Detroit,Deep,Diaptomidae,0.691639956,4.149839739
April,Detroit,Deep,Unidentified Calanoids,0.200790451,0.401580903
April,Detroit,Deep,Unidentified Cyclopoids,0.135134316,0.270268632
April,Detroit,Middle,Bosminidae,0.006461714,0.012923428
April,Detroit,Middle,Centropagidae,0.140952952,0.281905905
April,Detroit,Middle,Cyclopoidae,0.044431207,0.133293621
April,Detroit,Middle,Daphnidae,0.006271212,0.025084847
April,Detroit,Middle,Diaptomidae,0.486929284,2.921575704
April,Detroit,Middle,Macrothricidae,0.000505748,0.000505748
April,Detroit,Middle,Unidentified Calanoids,0.085324727,0.170649453
April,Detroit,Middle,Unidentified Cyclopoids,0.081037433,0.162074867
April,Detroit,Shallow,Bosminidae,0.003895973,0.003895973
April,Detroit,Shallow,Centropagidae,0.247404878,0.494809756
April,Detroit,Shallow,Cyclopoidae,0.056767457,0.227069827
April,Detroit,Shallow,Diaptomidae,0.392443055,2.354658329
April,Detroit,Shallow,Macrothricidae,0.000627485,0.00125497
April,Detroit,Shallow,Unidentified Calanoids,0.051357726,0.102715452
April,Detroit,Shallow,Unidentified Cyclopoids,0.065515242,0.131030484
April,Fairport,Deep,Bosminidae,0.289006349,1.156025398
April,Fairport,Deep,Cyclopoidae,9.776993228,39.10797291
April,Fairport,Deep,Daphnidae,0.44415965,0.888319301
April,Fairport,Deep,Diaptomidae,14.15341065,28.3068213
April,Fairport,Deep,Temoridae,0.286978904,0.573957809
April,Fairport,Deep,Unidentified Cyclopoids,2.774785292,5.549570585
April,Fairport,Middle,Bosminidae,0.900334825,2.701004475
April,Fairport,Middle,Cyclopoidae,22.76687251,91.06749004
April,Fairport,Middle,Daphnidae,1.081714527,3.24514358
April,Fairport,Middle,Diaptomidae,18.34170313,73.36681254
April,Fairport,Middle,Macrothricidae,0.028286584,0.028286584
April,Fairport,Middle,Unidentified Cyclopoids,7.452213316,14.90442663
April,Fairport,Shallow,Bosminidae,0.411261837,1.645047349
April,Fairport,Shallow,Centropagidae,0.177181475,0.354362951
April,Fairport,Shallow,Cyclopoidae,0.582199282,3.493195692
April,Fairport,Shallow,Daphnidae,0.051897291,0.207589164
April,Fairport,Shallow,Diaptomidae,1.845787288,14.76629831
April,Fairport,Shallow,Unidentified Calanoids,0.833262619,1.666525237
April,Fairport,Shallow,Unidentified Cyclopoids,1.856825348,3.713650696
April,Lorain,Deep,Bosminidae,0.110925117,0.443700466
April,Lorain,Deep,Cyclopoidae,3.43477108,17.1738554
April,Lorain,Deep,Daphnidae,0.139059307,0.556237228
April,Lorain,Deep,Diaptomidae,1.327213055,5.308852219
April,Lorain,Deep,Unidentified Cyclopoids,2.492993025,4.985986049
April,Lorain,Middle,Bosminidae,0.207886617,0.831546469
April,Lorain,Middle,Chydoridae,0.38945626,0.38945626
April,Lorain,Middle,Cyclopoidae,8.305714711,33.22285885
April,Lorain,Middle,Daphnidae,0.195793524,0.391587049
April,Lorain,Middle,Diaptomidae,4.044957407,20.22478703
April,Lorain,Middle,Unidentified Cyclopoids,2.679221071,5.358442143
April,Lorain,Shallow,Bosminidae,0.172712697,0.51813809
April,Lorain,Shallow,Cyclopoidae,3.01784178,15.0892089
April,Lorain,Shallow,Daphnidae,0.226698911,0.680096732
April,Lorain,Shallow,Diaptomidae,2.400705773,9.602823092
April,Lorain,Shallow,Unidentified Calanoids,0.044262477,0.044262477
April,Lorain,Shallow,Unidentified Cyclopoids,1.99373497,1.99373497
