SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,DomEcoReg
ACFB,ATL,2204230,"Big Cotton Indian Cr at GA 138, nr Stockbridge, GA",16.48281,128.4667,ECO_45
ACFB,ATL,2204468,"Walnut Creek at Airline Road, near Mcdonough, GA",16.5804,126.2006,ECO_45
ACFB,ATL,2206314,"Jackson Creek at Lester Road, near Lilburn, GA",15.9831,137.5165,ECO_45
ACFB,ATL,2208150,"Alcovy River at New Hope Road, near Grayson, GA",15.85126,133.4106,ECO_45
ACFB,ATL,2213450,"Little Tobesofkee Creek near Bolingbroke, GA",17.33668,123.7296,ECO_45
ACFB,ATL,2217293,"Little Mulberry River at GA 211, nr Hoschton, GA",15.86217,132.6933,ECO_45
ACFB,ATL,2217471,"Beech Creek at GA 211, near Statham, GA",16.21777,127.5183,ECO_45
ACFB,ATL,2218700,"Apalachee River near Bethlehem, GA",16.01019,131.4435,ECO_45
ACFB,ATL,2221000,"Murder Creek near Monticello, GA",17.03933,122.0024,ECO_45
ACFB,ATL,2334885,"Suwanee Creek at Suwanee, GA",15.58589,138.3833,ECO_45
ACFB,ATL,2335870,"Sope Creek near Marietta, GA",15.61743,139.834,ECO_45
ACFB,ATL,2335910,"Rottenwood C (Interstate N Pkwy) nr Smyrna, GA",15.74428,139.2784,ECO_45
ACFB,ATL,2336635,"Nickajack Creek at US 78/278, near Mableton, GA",15.8969,136.9575,ECO_45
ACFB,ATL,2336728,"Utoy Creek at Great Southwest Pkwy nr Atlanta, GA",16.1526,134.1034,ECO_45
ACFB,ATL,2336822,"Mill Creek at Morning Side Dr, near Hiram, GA",15.68102,138.9707,ECO_45
ACFB,ATL,2336876,"Powder Springs Cr Oglesby Rd, Powder Springs, GA",15.73393,138.2499,ECO_45
ACFB,ATL,2336968,"Noses Creek at Powder Springs Rd,Powder Springs, GA",15.73423,138.1393,ECO_45
ACFB,ATL,2337395,"Dog River at North Helton Road, near Winston, GA",15.7407,140.0299,ECO_45
ACFB,ATL,2338280,"Whooping Creek at GA 5, near Whitesburg, GA",16.03601,137.3183,ECO_45
ACFB,ATL,2338375,"Centralhatchee Cr Armstrong Mill Rd, Ctrlhtche, GA",16.02593,138.6126,ECO_45
ACFB,ATL,2338523,"Hillabahatchee Creek at Thaxton Rd, nr Franklin,GA",15.92513,139.9412,ECO_45
ACFB,ATL,2339480,"Oseligee Creek at County Rd 92 near Fredonia, AL",16.69274,140.7899,ECO_45
ACFB,ATL,2340282,"House Creek at GA 103, near Whitesville, GA",17.09117,133.5815,ECO_45
ACFB,ATL,2344340,"Morning Creek at GA 54, near Fayetteville, GA",16.32338,131.8575,ECO_45
ACFB,ATL,2344480,"Shoal Creek near Griffin, GA",16.65869,128.0549,ECO_45
ACFB,ATL,2344737,"Whitewater Cr at Willow Pond Rd nr Fayetteville, GA",16.41682,130.2895,ECO_45
ACFB,ATL,2344797,"White Oak Creek at Cannon Road, near Raymond, GA",16.46109,133.5812,ECO_45
ACFB,ATL,2344887,"Red Oak Creek at GA 362, near Gay, GA",16.74838,132.3719,ECO_45
ACFB,ATL,2346358,"Turnpike Creek near Milner, GA",16.77167,127.456,ECO_45
ACFB,ATL,2347748,"Auchumpkee Cr at Allen Rd, near Roberta, GA",17.54682,122.979,ECO_45
ALBE,RAL,2081190,"Tar River nr Berea, NC",14.25925,117.3073,ECO_45
ALBE,RAL,2081510,"Foundry Branch at mouth near Oxford, NC",14.56661,115.1523,ECO_45
ALBE,RAL,208500600,"Cates Creek nr Hillsborough, NC",14.60332,125.3307,ECO_45
