day	udo 	ubod	ddo	dbod	q	temp	sun	rain
0	9.67	2	8	2.3	1.71	16.5	12.9	0
1	9.56	2.25	8.2	1.05	1.77	16	8.1	1.2
2	9.25	2.4	8	1.65	1.64	15.5	7.3	1.5
3	9.36	2.75	7.5	1.55	1.7	15.5	2.8	3.5
4	9.57	1.9	7.2	1.6	1.55	15.75	3.1	0
5	9.43	2.75	7.3	2.9	1.8	15.5	7.7	0
6	9.52	1.95	7	1.35	1.66	16.0	4.9	0.1
7	9.32	2.8	6.4	2	1.71	16.75	1.2	0
8	9.04	2.45	6.4	1.55	1.61	17	11.3	0
9	9.09	3.05	6.6	2.55	1.63	17	0.8	4.5
10	8.99	2.75	6.6	3.05	1.71	17.5	11.9	0.1
11	8.94	4.7	6.7	2.7	1.55	18	9.2	0
12	9.08	4.7	6.7	3.2	1.58	17.25	0	1.0
13	9.23	3.4	7.1	2.3	1.65	16.5	13.5	1.6
14	9.32	7.45	6.9	5.25	1.57	16.25	7.4	0
15	9.29	5.35	6.7	5.25	1.61	15.75	0	0
16	9.39	4.4	6.3	4.6	1.57	15.25	6.4	0
17	9.47	4.5	6.6	4.15	1.64	15.5	8.3	0
18	9.09	6.3	5.5	4.45	1.64	16	0.7	0
19	8.81	4.7	6	4.3	1.55	17	6.6	0
20	8.81	4.5	7.3	3.45	1.44	17.75	2.8	0
21	8.56	7.3	7	5.35	1.41	18.75	2.5	4.5
22	8.71	7.1	7	5	1.44	18.5	10.5	0
23	8.27	6.8	7.4	5.15	1.33	19	10.3	0
24	8.31	6.05	7.1	4.95	1.31	19.75	11.7	1.4
25	8.89	7.55	6.6	5.4	1.36	19	1.3	2
26	8.66	4.6	6.2	5.95	1.4	17.25	0	0.8
27	8.2	5.95	7	4.3	1.31	17.5	6.1	1.6
28	8.29	7.1	7	6.15	1.29	17	2.7	0
29	8.44	7.95	7.4	5.1	1.22	17.25	5.5	0
30	8	7.45	7.4	4.7	1.24	18	9.9	0
31	8.62	6.7	7.2	4.8	1.19	18	1.4	4.2
32	9.07	5.35	6.8	4.85	1.31	18	0.5	5.6
33	8.62	4	6.5	4.9	1.38	17.25	1.4	0
34	8.8	4	7.05	3.35	1.32	17.5	6.6	0
35	8.85	3.75	7.6	3.4	1.17	17.75	11.2	0
36	9.21	3.7	8	2.65	1.14	18.5	11.6	0
37	8.89	3.15	8.6	3.25	1.12	19.5	12.5	0
38	9.01	3.7	9	4.1	1.19	20.5	13.6	0
39	9.05	4.45	10.2	4.6	1.03	20.5	12.6	0
40	8.55	3.8	8.9	4.9	1.01	20.5	9.6	0
41	8.54	4.7	11	5.85	1.03	20.75	12.9	0
42	8.62	6.05	10.6	6.6	1	20.5	6.5	0
43	7.85	5.2	9.3	6.4	1.01	20.5	5	0
44	7.37	5.15	8.2	6.45	1.03	20.25	5.6	0
45	7.67	3.4	7.2	6	1.03	20.25	0	3.9
46	7.48	5.45	5.6	5.5	1.03	19.75	0	0.9
47	7.47	6.1	5.8	4.35	1.15	19.75	4.4	0.5
48	7.61	6.55	5.9	4.05	1.12	20.25	2	0
49	7.38	6.25	5.8	4.25	1.05	20.5	5.6	0
50	7.37	7.35	6.3	4.2	1.03	20	2.2	0
51	8	7.55	6	4.2	1.01	18.75	4.5	0
52	8.17	6.4	7.1	4.3	1.01	18	0.1	0.5
53	8.12	3.65	6.5	4.3	1.03	17.75	4.4	0
54	8	4.95	7	3.8	0.94	18.75	5.7	2.7
55	7.49	3.55	6	4.3	1.07	18.5	1.6	4.1
56	7.85	6.05	5.8	3.35	1.09	18	1.5	28.5
57	7.24	9.8	6.6	4.95	2.28	17.5	0.9	0
58	7.52	5.55	5.8	5.15	2.07	17	5.8	0
59	7.69	6.2	6.9	3.6	1.46	17	1	13
60	8.62	3.85	7.8	3.6	1.23	17	5.5	0
61	8.57	3.4	7.7	3.25	1.17	17.25	1.4	6.3
62	8.53	4.4	7.5	2.85	1.26	18.25	9.6	0.2
63	8.22	3.85	7.7	3	1.26	18.25	6.3	0
64	8.26	3.2	7.5	3.1	1.03	17.5	8	0
65	8.08	2.85	7.5	3.7	1.01	18	9.7	0.9
66	8.22	3	7.8	3.45	0.98	18	10.8	0
67	8.62	3.4	8.1	4.2	1.01	18.75	5.9	0
68	8.4	3.2	7.3	4.2	1.05	19	4	0
69	8.98	2.95	7.6	3.65	1	19	7.5	0.3
70	8.54	3.4	6.8	4.25	0.96	19	1.1	0
71	8.18	3.95	6.5	5	0.93	18.5	8	0.1
72	8.8	2.7	6.5	4.2	1.03	18	4.7	0
73	8.99	2.85	7.4	5.7	1.01	17	4.5	0
74	8.76	3.6	7.9	5.75	0.96	16.25	10.7	0
75	9.03	3.55	8.1	4	0.87	17.25	0.5	0
76	9.18	5.15	7.7	4.8	0.98	17.25	12.2	0
77	8.62	3.5	8.6	4.6	1	17.75	3.9	0
78	7.79	4.9	8.2	4.4	0.98	17.5	10.2	0
79	7.7	5.2	8.6	4.75	0.93	18	10.6	0
80	8.76	5.2	8.7	5	0.91	18.25	8.4	0
