SOURCE,STATION,DATE,SURFTEMP,SURFDO,SURFSAL,PH,TSS,AMMON,TKN,NOX,DIN,TOTN,TP,ORTHOP,SURFCHLA,SECCHI,TURBIDITY,temp
DWQ,0,1/30/79,5,10.3,,6.4,23,,,,,,,,,,,0
DWQ,0,2/20/79,4,12.1,,6.8,12,,,,,,,,,,,0
DWQ,0,3/12/79,11,8.7,,6.2,20,50,400,440,490,840,100,50,10,,,0
DWQ,0,4/5/79,17,7.7,,6.5,9,50,500,340,390,840,140,50,10,,,0
DWQ,0,4/17/79,16,7.1,,6.6,13,50,500,540,590,1040,140,60,10,,,0
DWQ,0,5/8/79,21,10.3,,7,12,50,500,680,730,1180,200,50,36,,,0
DWQ,0,5/21/79,19,6,,6.4,22,50,600,450,500,1050,210,70,10,,,0
DWQ,0,6/5/79,22,5.6,,6.7,35,50,600,800,850,1400,260,60,10,,,0
DWQ,0,6/7/79,26,,,,,,,,,,,,,,,0
DWQ,0,6/20/79,21.5,6.4,,6.8,16,50,400,760,810,1160,190,80,10,,,0
DWQ,0,7/10/79,25,10.2,,7.6,17,50,1000,300,350,1300,220,60,,,,0
DWQ,0,7/13/79,29,10.45,,,,,,,,,,,59.5,,,0
DWQ,0,7/18/79,27.3,7.27,,7.27,5,130,733.33,276.67,406.67,1010,210,93.33,25,,,0
DWQ,0,7/25/79,26,6.7,,7,33,100,500,860,960,1360,240,110,13,,,0
DWQ,0,8/6/79,30,10.2,,7.9,11,50,600,200,250,800,210,100,41,,,0
DWQ,0,8/21/79,28,8.1,,8.1,15,50,800,50,100,850,240,80,52,,,0
DWQ,0,9/4/79,27,8.8,,7.8,10,70,500,630,700,1130,260,130,18,,,0
DWQ,0,9/19/79,21,5.6,,7,14,50,500,340,390,840,180,100,10,,,0
DWQ,0,10/4/79,22,5,,6.5,13,,,,,,,,,,,0
DWQ,0,11/5/79,16,8.1,,,9,50,400,1000,1050,1400,230,100,10,,,0
DWQ,0,11/14/79,13.5,7,,6.8,17,50,400,380,430,780,180,100,10,0.5,,0
DWQ,0,12/5/79,7,10.1,,,12,50,400,230,280,630,140,60,,,,0
DWQ,0,1/29/80,,,,,15,,,,,,,,,,,0
DWQ,0,5/13/80,22,8.6,,,13,50,400,1100,1150,1500,210,70,20,,,0
DWQ,0,6/5/80,24.7,7.47,,,12,50,400,760,810,1160,190,50,32,0.4,,0
DWQ,0,8/7/80,31.3,5.97,,,11,150,1000,70,220,1070,320,190,36,,10,0
DWQ,0,8/26/80,27,6.17,,,13,120,700,50,170,750,260,120,26,,10,0
DWQ,0,9/8/80,29,7.9,,,17,50,700,280,330,980,260,160,33,,10,0
DWQ,0,10/6/80,20,5.6,,,10,120,600,1200,1320,1800,190,90,10,,10,0
DWQ,0,11/6/80,13.7,7.53,,,5,100,500,1200,1300,1700,230,130,10,,10,0
DWQ,0,12/9/80,10,9.7,,,5,180,600,990,1170,1590,220,120,10,,15,0
DWQ,0,1/15/81,1.3,12.65,,,8,200,400,1400,1600,1800,190,90,10,,6,0
DWQ,0,2/10/81,3,11.67,,,13,120,500,1300,1420,1800,180,110,10,,10,0
DWQ,0,3/17/81,10,10,,,8,100,600,970,1070,1570,240,80,10,,10,0
DWQ,0,3/18/81,10,9.83,,,,,,,,,,,,,,0
DWQ,0,4/16/81,19.8,9.13,,,11,50,500,740,790,1240,,120,10,1,6,0
DWQ,0,5/26/81,23.7,8.57,,,17,60,700,1200,1260,1900,300,90,31,,15,0
DWQ,0,6/17/81,30,5.1,,,10,70,600,860,930,1460,320,120,21,,15,0
DWQ,0,7/28/81,30,10,1,,14,50,1000,90,140,1090,280,110,33,,15,0
DWQ,0,8/25/81,21,5.4,0,,9,70,500,720,790,1220,170,60,2,,15,0
DWQ,0,9/21/81,22.7,6.4,0,,7,90,700,730,820,1430,310,90,9,,8,0
DWQ,0,10/19/81,17,9.8,,,17,160,1000,540,700,1540,200,50,15,,10,0
DWQ,0,11/19/81,12.3,6.53,1,,7,170,600,730,900,1330,270,160,3,,,0
DWQ,0,12/14/81,5,10.33,0,,5,120,500,1300,1420,1800,340,260,1,,,0
DWQ,0,1/25/82,4.3,10.33,0,,10,150,600,1200,1350,1800,130,50,1,,25,0
DWQ,0,2/22/82,10,8.57,0,6.4,6,50,400,990,1040,1390,100,50,3,,,0
DWQ,0,3/29/82,10,8.5,,7,6,50,400,700,750,1100,130,50,1,,,0
DWQ,0,4/27/82,17.3,7.23,0,6.4,5,70,400,890,960,1290,240,110,3,,6,0
DWQ,0,5/12/82,20,6.33,,6.6,5,70,700,770,840,1470,240,80,7,,,0
DWQ,0,6/14/82,22,5.47,,6,11,50,600,370,420,970,240,100,1,,,0
DWQ,0,7/20/82,26,4.5,0,6.5,24,50,600,590,640,1190,280,110,4,,25,0
DWQ,0,8/31/82,25,5.47,0,6.3,5,50,400,950,1000,1350,200,70,12,,,0
DWQ,0,9/13/82,24,10.67,,7.3,11,50,700,920,970,1620,200,70,52,,,0
DWQ,0,10/19/82,16.7,8.53,0,6.8,11,10,600,1200,1210,1800,250,120,33,,5.5,0
DWQ,0,11/9/82,12,5.93,,7.2,8,40,400,790,830,1190,220,120,1,,,0
DWQ,0,12/7/82,16,7.57,,7,6,83.33,333.33,1000,1083.33,1333.33,243.33,,2,,,0
DWQ,0,1/24/83,6,11.67,0,6.6,5,110,300,1300,1410,1600,150,50,1,,7,0
DWQ,0,2/24/83,9,9.3,0,6.8,10,10,200,790,800,990,100,20,2,,,0
DWQ,0,2/25/83,8,9.5,,,,,,,,,,,,,,0
DWQ,0,3/29/83,12,8.4,0,6,7,20,400,570,590,970,120,30,2,,,0
DWQ,0,4/12/83,16.1,7.33,,6.2,6,20,400,580,600,980,120,30,1,,13,0
DWQ,0,5/5/83,19.1,5.7,,6.8,6,40,400,590,630,990,140,50,3,,,0
DWQ,0,6/14/83,21.5,5.67,,6.2,7,30,400,1100,1130,1500,190,80,2,,,0
DWQ,0,7/6/83,27.3,5.1,0,6.43,14,60,400,1000,1060,1400,220,110,2,,22,0
DWQ,0,7/19/83,30.7,11.6,,8.7,,30,600,390,420,990,215,40,33,0.65,,0
DWQ,0,8/25/83,28.6,5.23,0,7.47,5,130,600,50,180,650,230,150,10,0.75,,0
DWQ,0,9/26/83,20.8,8,0,7.6,8,10,400,1100,1110,1500,350,230,6,,,0
DWQ,0,10/19/83,20.1,6.6,0,7.3,4,30,500,960,990,1460,290,180,11,,6.7,0
DWQ,0,11/3/83,15.4,7.53,0,7.03,6,30,400,1200,1230,1600,380,290,2,,,0
DWQ,0,11/28/83,2.8,10.9,,6.35,,,,,,,,,,,,0
DWQ,0,12/28/83,2.8,10.8,,6.5,8,70,400,820,890,1220,130,50,2,,,0
DWQ,0,1/17/84,3.9,10.85,,6.45,16,80,400,930,1010,1330,150,50,2,0.32,50,0
DWQ,0,2/22/84,12,8.1,,5.77,8,30,400,680,710,1080,140,60,6,0.45,,0
DWQ,0,3/26/84,14.5,7.9,0,7,7,20,300,550,570,850,100,30,2,0.72,,0
DWQ,0,4/26/84,16,6.7,0,6.6,4,30,400,470,500,870,130,40,2,,15,0
DWQ,0,5/16/84,18.5,5.8,0,6.5,9,30,400,630,660,1030,170,40,1,,,0
DWQ,0,6/12/84,23,5.63,0,6.5,8,,,,,,,,,,,0
DWQ,0,7/11/84,25.3,5.37,0,6.9,12,90,500,650,740,1150,240,120,9,,19,0
DWQ,0,7/12/84,26,,,,,40,400,340,380,740,170,60,2,,,0
DWQ,0,8/8/84,26,5.7,0,6.6,9,20,500,400,420,900,180,60,3,,,0
DWQ,0,9/24/84,20,5.37,0,6.4,8,30,500,320,350,820,130,40,1,,,0
DWQ,0,10/16/84,18.3,6.47,0,6.9,4,60,300,1000,1060,1300,170,60,1,,6.5,0
DWQ,0,11/8/84,15.3,7.77,0,6.6,4,90,800,880,970,1680,290,150,1,,,0
DWQ,0,12/4/84,9.7,9.3,0,7.2,4,80,300,1100,1180,1400,260,160,1,1.2,6,0
DWQ,0,1/24/85,1,13.13,0,,6,180,400,1000,1180,1400,160,70,3,,10,0
DWQ,0,2/13/85,4,10.8,,6.9,9,50,300,950,1000,1250,110,40,2,,,0
DWQ,0,2/15/85,4,10.8,0,,,,,,,,,,,,,0
DWQ,0,3/13/85,14,8.2,0,7.4,10,70,400,940,1010,1340,170,50,20,,,0
DWQ,0,4/17/85,17.9,6.93,0,6.77,11,220,600,980,1200,1580,220,90,2,,13,0
DWQ,0,5/8/85,22,7,0,6.7,7,90,300,1300,1390,1600,280,80,13,,,0
DWQ,0,6/24/85,28,8.77,0,8.4,10,10,400,660,670,1060,320,220,12,,,0
DWQ,0,7/9/85,28.5,6.77,0,7.5,14,10,400,730,740,1130,310,200,13,0.6,18,0
DWQ,0,8/29/85,27.1,5.93,0,7.17,5,80,600,750,830,1350,230,120,3,,,0
DWQ,0,9/12/85,27,2.77,4.67,,5,130,500,490,620,990,280,160,13,,,0
DWQ,0,10/8/85,20.9,5.27,0,6.77,2,180,400,1000,1180,1400,250,160,4,,8,0
DWQ,0,11/6/85,17,5.43,0,7,2,80,300,870,950,1170,930,120,1,,,0
DWQ,0,12/11/85,9,8.83,0,6.5,11,40,400,510,550,910,120,50,1,0.68,,0
DWQ,0,1/14/86,4,11.17,0,7.3,5,230,500,1100,1330,1600,250,140,3,0.9,9.2,0
DWQ,0,2/17/86,6,10.8,0,6.9,11,180,600,1100,1280,1700,240,120,6,,,0
DWQ,0,3/17/86,16,7.67,0,7.1,9,130,400,810,940,1210,230,120,3,0.68,,0
DWQ,0,4/3/86,18.7,10.8,,7.7,9,10,400,580,590,980,170,60,45,0.68,9,0
DWQ,0,5/5/86,22.3,7.7,0,7,11,70,400,1200,1270,1600,370,200,13,0.9,,0
DWQ,0,6/19/86,27,4.7,0,6.8,12,260,500,1000,1260,1500,920,250,4,,,0
DWQ,0,7/9/86,30,5.47,0,6.7,,90,700,800,890,1500,420,260,14,0.6,22,0
DWQ,0,8/25/86,24,5.13,,6.6,38,90,500,660,750,1160,270,120,1,0.48,,0
DWQ,0,9/23/86,26,7.27,5,,1,70,400,1100,1170,1500,350,210,8,0.75,,0
DWQ,0,10/28/86,18,5.9,2.07,7.3,2,60,500,1000,1060,1500,370,250,5,1.2,,0
DWQ,0,11/18/86,12,7.73,0,7.1,5,130,400,1200,1330,1600,430,280,1,,,0
DWQ,0,12/4/86,13,7.27,0,7.1,2,120,600,990,1110,1590,370,250,2,,,0
DWQ,0,1/15/87,8,9.1,0,6.8,10,70,400,1200,1270,1600,170,70,5,,18,0
DWQ,0,2/18/87,4.5,10.33,0,6,2,80,400,1100,1180,1500,120,50,12,,12,0
DWQ,0,3/18/87,9,9.17,,7.1,14,10,400,500,510,900,80,20,10,,20,0
DWQ,0,4/6/87,11,8,,6.7,13,40,400,720,760,1120,140,60,3,,16,0
DWQ,0,5/12/87,20.2,5.83,,6.7,19,130,500,840,970,1340,240,70,4,,,0
DWQ,0,5/27/87,,,,,,80,400,970,1050,1370,260,130,,,,0
DWQ,0,6/9/87,31.7,3.83,0,8.4,16,20,700,580,600,1280,220,90,140,,,0
DWQ,0,7/16/87,28.8,4.67,0,6.37,4,80,500,780,860,1280,360,260,10,0.9,8,0
DWQ,0,8/18/87,28.4,7.4,,6.76,6,210,600,820,1030,1420,240,150,3,1,,0
DWQ,0,9/8/87,29.4,5.5,0,6.1,6,100,400,840,940,1240,390,280,4,,,0
DWQ,0,9/9/87,27.2,4.8,,6.1,,,,,,,,,,,,0
DWQ,0,10/21/87,17,7.5,0,7.2,6,40,300,1100,1140,1400,360,260,2,,4,0
DWQ,0,11/9/87,15.7,5.88,0.66,7.2,8,60,400,1100,1160,1500,400,320,5,1,,0
DWQ,0,12/30/87,9,8.57,0,6.5,7,130,400,1000,1130,1400,280,170,1,0.6,,0
DWQ,0,1/19/88,3,11.13,0,6.9,2,210,500,1400,1610,1900,150,70,1,1,8,0
DWQ,0,2/15/88,5.5,8.53,,6.77,14,90,500,1000,1090,1500,180,40,11,0.7,,0
DWQ,0,3/9/88,12,10.13,0,7.2,12,20,400,1100,1120,1500,170,60,8,0.8,,0
DWQ,0,4/7/88,19,6.67,,6.7,11,120,500,740,860,1240,220,100,1,1,8,0
DWQ,0,4/27/88,16,5.8,0,6.9,12,70,500,580,650,1080,190,70,,,12,0
DWQ,0,5/25/88,22.2,5.17,0,6.7,18,90,600,800,890,1400,240,110,1,0.6,,0
DWQ,0,6/23/88,29,5,0,6.9,10,,,,,,,,,0.7,,0
DWQ,0,7/28/88,28.8,6.4,0,,,,,,,,,,,0.7,,0
DWQ,0,8/25/88,28.1,4.8,0,7.03,9,110,400,760,870,1160,300,170,3,0.8,8.2,0
DWQ,0,9/28/88,,,,,3,80,400,890,970,1290,250,130,3,,9.3,0
DWQ,0,10/27/88,14.3,8.03,0,6.9,3,90,400,1200,1290,1600,190,130,1,1,8,0
DWQ,0,11/16/88,13.7,7,0,7,8,80,500,540,620,1040,160,70,1,0.8,,0
DWQ,0,12/8/88,8,10.4,0,6.9,7,80,400,750,830,1150,150,70,1,1,,0
DWQ,0,1/11/89,9,9.33,0,6.9,4,140,400,970,1110,1370,170,90,1,1,10,0
DWQ,0,3/7/89,10,8.07,0,6.6,14,30,400,910,940,1310,140,30,3,0.5,,0
DWQ,0,3/28/89,15,8.47,0,6.7,10,20,400,750,770,1150,90,20,3,0.7,,0
DWQ,0,4/27/89,20,4.87,0,6.5,6,100,500,580,680,1080,170,50,1,0.7,12,0
DWQ,0,5/24/89,21.5,4.73,0,6.6,14,40,600,540,580,1140,200,50,1,0.5,,0
DWQ,0,6/19/89,26,4.6,0,6.5,8,70,500,600,670,1100,210,80,2,0.6,,0
DWQ,0,7/19/89,24.5,4.67,0,5.9,12,100,500,690,790,1190,180,70,1,0.4,16,0
DWQ,0,8/21/89,25,5.06,0,6.7,6,70,400,640,710,1040,160,60,1,0.6,,0
DWQ,0,9/18/89,25,5.46,0,6.9,4,,,,,,,60,2,0.6,,0
DWQ,0,10/18/89,19,5.6,0,6.8,6,60,400,610,670,1010,120,40,1,0.9,8,0
DWQ,0,11/15/89,15,6.7,0,6.3,9,40,400,490,530,890,130,40,4,,,0
DWQ,0,12/12/89,4,10,0,6.2,12,100,400,1100,1200,1500,150,40,1,0.5,,0
DWQ,0,1/31/90,11,9.14,0,6.8,9,70,500,850,920,1350,110,40,4,0.4,14,0
DWQ,0,2/28/90,10.2,9.6,0,6.5,8,20,300,650,670,950,100,30,6,0.7,,0
DWQ,0,3/21/90,15.8,7.08,0,6.4,10,100,400,820,920,1220,140,50,1,0.7,,0
DWQ,0,4/18/90,15.8,7.46,0,6.4,7,20,400,440,460,840,100,30,8,0.7,10,0
DWQ,0,5/30/90,21,5.68,0,6.6,39,160,500,940,1100,1440,280,70,1,0.1,,0
DWQ,0,6/27/90,29.4,5.02,0,7,3,80,400,1300,1380,1700,190,90,2,1,,0
DWQ,0,7/25/90,30.3,5.93,0,6.7,3,40,300,1200,1240,1500,160,80,5,1,8,0
DWQ,0,8/29/90,28,4.88,0,6.6,4,100,500,820,920,1320,210,90,1,0.6,,0
DWQ,0,9/26/90,22,6.55,0,7.3,2,100,300,1400,1500,1700,160,70,3,1,,0
DWQ,0,10/29/90,15,7.36,0,,,160,500,1200,1360,1700,190,80,1,0.5,,0
DWQ,0,11/29/90,14,7.75,0,7.1,3,120,400,1200,1320,1600,120,50,1,1.2,,0
DWQ,0,12/13/90,10.2,10.16,0,6.8,1,120,400,870,990,1270,130,60,1,0.7,,0
DWQ,0,4/9/91,20.8,6.46,0,6.6,10,20,400,410,430,810,110,20,5,0.7,12,0
DWQ,0,5/13/91,25.3,5.55,0,7,7,100,400,1100,1200,1500,170,60,1,0.7,,0
DWQ,0,6/6/91,26,3.9,1,6.9,4,250,700,940,1190,1640,150,50,4,0.9,,0
DWQ,0,7/16/91,29,4.88,0,7,6,90,400,930,1020,1330,170,80,1,0.8,10,0
DWQ,0,8/8/91,25.6,4.1,0,6.3,14,70,700,190,260,890,150,50,1,0.6,,0
DWQ,0,9/18/91,27.5,4.52,0,7.1,4,80,500,1500,1580,2000,280,70,1,1.1,,0
DWQ,0,10/9/91,19,6.4,0,6.9,5,120,500,1100,1220,1600,150,50,1,0.8,6,0
DWQ,0,11/13/91,11,7.7,0,,,90,50,1100,1190,1150,140,50,1,1.1,,0
DWQ,0,12/10/91,12,9.72,0,6.7,,90,400,970,1060,1370,150,30,1,0.8,,0
DWQ,0,1/9/92,10,,0,5.9,22,80,600,1100,1180,1700,160,40,1,0.5,26,0
DWQ,0,2/11/92,7,10.5,0,6.4,5,120,400,1200,1320,1600,50,20,1,1,,0
DWQ,0,3/10/92,16,8.18,0,7,11,60,400,760,820,1160,80,30,3,0.5,12,0
DWQ,0,4/7/92,14,9.1,0,7,4,100,400,660,760,1060,90,10,2,0.6,6,0
DWQ,0,5/18/92,24.2,5.45,0,6.9,1,100,600,1100,1200,1700,150,40,1,1,,0
DWQ,0,6/10/92,27,5.6,0,7.1,8,100,400,1100,1200,1500,150,50,1,0.6,,0
DWQ,0,7/9/92,28,4.43,0,6.6,6,50,600,410,460,1010,190,50,1,0.7,14,0
DWQ,0,8/6/92,29,5.16,0,7,5,60,400,830,890,1230,200,70,2,0.9,,0
DWQ,0,9/10/92,27,5.23,0,6.8,7,90,500,1000,1090,1500,180,50,2,0.8,,0
DWQ,0,10/12/92,19,6.06,0,6.3,6,60,500,550,610,1050,120,30,1,0.7,7.8,0
DWQ,0,11/5/92,19,6.66,0,6.5,12,110,400,1200,1310,1600,160,50,1,0.8,,0
DWQ,0,12/9/92,8.2,9.1,0,6.1,2,50,200,550,600,750,90,30,1,0.8,,0
DWQ,0,1/14/93,11.5,8.72,0,5.9,5,70,400,860,930,1260,110,20,1,0.5,20,0
DWQ,0,2/9/93,7,9.83,0,6.3,4,80,500,1200,1280,1700,80,20,2,0.8,,0
DWQ,0,3/9/93,12,8.73,0,6.4,10,50,800,920,970,1720,110,10,2,0.3,,0
DWQ,0,4/15/93,18,7.85,0,6,8,30,400,320,350,720,90,10,2,0.7,11,0
DWQ,0,5/12/93,24,6.02,0,6.8,12,130,500,1000,1130,1500,200,40,1,0.7,,0
DWQ,0,6/8/93,27.4,6,0,7.1,4,110,500,1000,1110,1500,160,60,1,1.1,,0
DWQ,0,7/12/93,32,5.88,0,7.3,4,80,600,940,1020,1540,140,70,2,1.6,3.1,0
DWQ,0,8/17/93,29.4,5.76,0,7.2,3,40,400,800,840,1200,150,60,2,1.1,,0
DWQ,0,9/8/93,29,4.82,0,6.1,7,80,500,870,950,1370,190,160,3,1.1,,0
DWQ,0,10/18/93,19.3,6.53,0,6.7,5,100,200,1300,1400,1500,150,90,1,1.1,3.2,0
DWQ,0,11/9/93,13,8.04,0,6.5,3,140,600,1000,1140,1600,190,50,1,1,,0
DWQ,0,2/8/94,6.7,9.75,1.33,6.1,7,140,400,910,1050,1310,60,10,1,0.8,,0
DWQ,0,3/15/94,13.2,8,0,6.1,5,20,400,400,420,800,60,10,3,0.5,,0
DWQ,0,4/12/94,18,6.7,0,6.4,3,30,300,300,330,600,120,10,1,0.7,8.8,0
DWQ,0,5/18/94,23.2,6.58,0,6,3,60,400,880,940,1280,120,40,1,1.2,,0
DWQ,0,6/8/94,27.2,6.5,0,6.8,6,50,300,890,940,1190,140,40,1,1.1,,0
DWQ,0,7/12/94,30.6,5.28,0,6.7,4,60,400,610,670,1010,140,80,3,0.8,5,0
DWQ,0,8/10/94,27,3.6,3.33,7,5,100,400,750,850,1150,170,90,1,1.2,,0
DWQ,0,9/1/94,28.2,4.08,2.2,7.1,1,80,500,720,800,1220,170,90,2,1.1,,0
DWQ,0,10/27/94,18,3.9,6.25,6.8,3,,,,,,,,,1,5.1,0
DWQ,0,11/15/94,16.5,3.68,4.25,7.2,2,200,500,990,1190,1490,140,50,1,1.2,,0
DWQ,0,12/8/94,15,6.1,2.5,7,4,250,600,820,1070,1420,240,120,1,0.8,,0
DWQ,0,1/10/95,8.2,9.98,0,7.1,9,70,500,1000,1070,1500,130,50,1,0.8,8,0
